name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
GALE,f,0.016,"24,289",690,1990,http://names.mongabay.com/female_names_alpha.htm
GALINA,f,0.001,"1,518",3648,1990,http://names.mongabay.com/female_names_alpha.htm
GARNET,f,0.004,"6,072",1558,1990,http://names.mongabay.com/female_names_alpha.htm
GARNETT,f,0.002,"3,036",2396,1990,http://names.mongabay.com/female_names_alpha.htm
GARY,f,0.002,"3,036",2541,1990,http://names.mongabay.com/female_names_alpha.htm
GAY,f,0.012,"18,217",795,1990,http://names.mongabay.com/female_names_alpha.htm
GAYE,f,0.005,"7,590",1295,1990,http://names.mongabay.com/female_names_alpha.htm
GAYLA,f,0.008,"12,145",1027,1990,http://names.mongabay.com/female_names_alpha.htm
GAYLE,f,0.043,"65,278",375,1990,http://names.mongabay.com/female_names_alpha.htm
GAYLENE,f,0.002,"3,036",2909,1990,http://names.mongabay.com/female_names_alpha.htm
GAYNELL,f,0.003,"4,554",1861,1990,http://names.mongabay.com/female_names_alpha.htm
GAYNELLE,f,0.001,"1,518",3133,1990,http://names.mongabay.com/female_names_alpha.htm
GEARLDINE,f,0.002,"3,036",2874,1990,http://names.mongabay.com/female_names_alpha.htm
GEMA,f,0.001,"1,518",4245,1990,http://names.mongabay.com/female_names_alpha.htm
GEMMA,f,0.003,"4,554",1711,1990,http://names.mongabay.com/female_names_alpha.htm
GENA,f,0.01,"15,181",879,1990,http://names.mongabay.com/female_names_alpha.htm
GENE,f,0.005,"7,590",1299,1990,http://names.mongabay.com/female_names_alpha.htm
GENESIS,f,0.001,"1,518",3435,1990,http://names.mongabay.com/female_names_alpha.htm
GENEVA,f,0.059,"89,567",303,1990,http://names.mongabay.com/female_names_alpha.htm
GENEVIE,f,0.001,"1,518",3809,1990,http://names.mongabay.com/female_names_alpha.htm
GENEVIEVE,f,0.051,"77,423",333,1990,http://names.mongabay.com/female_names_alpha.htm
GENEVIVE,f,0.001,"1,518",3970,1990,http://names.mongabay.com/female_names_alpha.htm
